state,dialog
0,I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
1,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
2,I T I 407 A I T I T I 500 A I T I T R R R P P P P 200 I 200 I 200 P 200 I 200 A P 200 A A A B B B B 200 B 200 B 200
3,I T I T I 500 A I T I T S S S P P P P 200 S P 200 P P 200 S P 200 S P P P 200 P P P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
4,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U 200 U 200 B B B B B 200 B 200 B 200 B 200
5,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
6,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B B 200 B 200 B 200 B 200 B B 481 B 481
7,I T I T I 500 A I T I T I 500 A I T I T I T R R R R R P P P P P P 200 P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 I 200 A A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U 200 B B B B B B 200 B 200 B 200 B 200 B 200
8,I T I T I 500 A I T I T S S S P P P P P 200 P 200 P 200 P 200 I 480 A I 480 A I 480 A
9,I T I T I 500 A I T I T S S S P P P P P 200 S S P 200 P 200 P 200 S P P P P P 200 S P 200 S P 200 P 200 S P P P P P 200 P 200 P 200 P 200 R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
10,I T I T S S P P P 200 P 200 I 200 I 200 A A B B B 200 B 200
11,I T I T I 500 I T I T I T A R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
12,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
13,I T I 407 A I T I T I 500 A I T I T R R R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
14,I T I T I 500 A I T W W I T I T S S S S P P P P P 200 P 200 P 200 P 200 R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
15,I T I T R R I 200 I 200 A A B B B 200 B 200
16,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
17,I T I T R R P P P 200 P 200 I 200 I 200 A A B B B 200 B 200
18,I T I T I 500 A I T I T I T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A U U U U U 200 U 200 U 200 U U U U U 200 U 200 U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B B 200 B 200 B 200 B 200
19,I T I T I 500 A I T I I T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
20,I T I 407 A I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U U 200 U 200 U 200 B B B B 200 B 200 B 200
21,I I T I 500 A T I T I T S S S P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
22,I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 U U U 200 U 200 B B B B 200 B 200 B 200
23,I T I T R R P P P 200 P 200 I 200 I 200 A A I T I I 200 I 200 A A B B B 200 B 200
24,I T I 407 A I T I T I 500 A I T I T R R R P P P P 200 P 200 P 200 I 200 I 200 I 200 A A A A B B B B 200 B 200 B 200
25,I T I T I 500 A I I T I T T R R R R P P P P P 200 P 200 P 200 P 200 I 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
26,I T I T I 500 A I T I T S S S P P P P 200 R P 200 R P 200 R P P P P 200 P 200 P 200 S S S P P P P 200 P 200 P 200 U U U U 200 U 200 U 200 I 200 I 200 I 200 A A A A B B B B B 200 B 200 B 200 B 200
27,I T I T I 500 A I T I T I 486 A I 486 A I 486 A
28,I T I T I 500 A I I T I T T R R R R P P P P P 200 P 200 P 200 P 200 C C 200 C C 200 C C 200 C C 200 I 487 A I 487 A I 487 A I 487 A
29,I T I 407 A I I T T I 500 A I T I T I 484 A I 484 A I 484 A
